Fecha,TOTAL,Variación,Variación mensual (%),HOMBRES,MUJERES
2001-01-01,2017389,,,820975,1196414
2001-02-01,1993273,-24116.0,-0.012098693957124818,800721,1192552
2001-03-01,1981006,-12267.0,-0.006192308352422904,790858,1190148
2001-04-01,1910453,-70553.0,-0.03692998466855757,758020,1152433
2001-05-01,1898285,-12168.0,-0.006409996391479655,754582,1143703
2001-06-01,1842556,-55729.0,-0.03024548507616598,724790,1117766
2001-07-01,1835738,-6818.0,-0.003714037624105382,719398,1116340
2001-08-01,1878513,42775.0,0.022770670205636057,753496,1125017
2001-09-01,1889185,10672.0,0.005648996789620941,747195,1141990
2001-10-01,1940910,51725.0,0.02664987042160638,771580,1169330
2001-11-01,1985857,44947.0,0.022633553171250487,794361,1191496
2001-12-01,1988716,2859.0,0.0014376110012691568,821849,1166867
2002-01-01,2075022,86306.0,0.04159281202801701,855696,1219326
2002-02-01,2149907,74885.0,0.03483173923337146,912863,1237044
2002-03-01,2083103,-66804.0,-0.03206946560011681,851267,1231836
2002-04-01,2060069,-23034.0,-0.011181178882843312,836149,1223920
2002-05-01,2002923,-57146.0,-0.028531301502853657,809737,1193186
2002-06-01,1962963,-39960.0,-0.020356980747981535,788298,1174665
2002-07-01,1961852,-1111.0,-0.0005663016374324314,785361,1176491
2002-08-01,1983982,22130.0,0.011154335069572197,806706,1177276
2002-09-01,2006785,22803.0,0.011362951188094383,809362,1197423
2002-10-01,2064513,57728.0,0.027962042379970464,832941,1231572
2002-11-01,2117144,52631.0,0.02485943327425999,856653,1260491
2002-12-01,2127018,9874.0,0.004642179802897717,895080,1231938
2003-01-01,2185156,58138.0,0.026605880770068535,906084,1279072
2003-02-01,2180216,-4940.0,-0.0022658305415610425,891117,1289099
2003-03-01,2163499,-16717.0,-0.007726835094446605,875720,1287779
2003-04-01,2104474,-59025.0,-0.028047388563603004,852288,1252186
2003-05-01,2035601,-68873.0,-0.03383423372262051,817252,1218349
2003-06-01,2020367,-15234.0,-0.007540214228405118,806263,1214104
2003-07-01,1995964,-24403.0,-0.012226172415935377,795867,1200097
2003-08-01,2016675,20711.0,0.010269874917872235,816770,1199905
2003-09-01,2039630,22955.0,0.01125449223633701,818963,1220667
2003-10-01,2096606,56976.0,0.027175349111850267,845077,1251529
2003-11-01,2143206,46600.0,0.021743126885609643,866182,1277024
2003-12-01,2181248,38042.0,0.017440474443987997,922060,1259188
2004-01-01,2232560,51312.0,0.022983480847099336,923156,1309404
2004-02-01,2219300,-13260.0,-0.005974856936872053,903903,1315397
2004-03-01,2181546,-37754.0,-0.017306075599597737,882204,1299342
2004-04-01,2162406,-19140.0,-0.008851251800078286,872860,1289546
2004-05-01,2090702,-71704.0,-0.03429661424727204,840336,1250366
2004-06-01,2054113,-36589.0,-0.017812554616031262,814869,1239244
2004-07-01,2014218,-39895.0,-0.019806694210855014,797768,1216450
2004-08-01,2049639,35421.0,0.017281579829423577,826569,1223070
2004-09-01,2050513,874.0,0.0004262348007547656,822222,1228291
2004-10-01,2075812,25299.0,0.012187519871741714,834061,1241751
2004-11-01,2121089,45277.0,0.021346110417808983,855839,1265250
2004-12-01,2112714,-8375.0,-0.003964095471512108,878020,1234694
2005-01-01,2176599,63885.0,0.02935083586825138,892559,1284040
2005-02-01,2165420,-11179.0,-0.005162508889730466,872326,1293094
2005-03-01,2144835,-20585.0,-0.009597474864033728,863168,1281667
2005-04-01,2095945,-48890.0,-0.023325993764149455,832912,1263033
2005-05-01,2007393,-88552.0,-0.0441129365301165,782160,1225233
2005-06-01,1974860,-32533.0,-0.016473572810224546,758514,1216346
2005-07-01,1989417,14557.0,0.007317219064680747,763528,1225889
2005-08-01,2019110,29693.0,0.014705984319824061,790103,1229007
2005-09-01,2013286,-5824.0,-0.002892783240930452,784260,1229026
2005-10-01,2052861,39575.0,0.019277973520857028,803777,1249084
2005-11-01,2095580,42719.0,0.020385287128145912,821035,1274545
2005-12-01,2102937,7357.0,0.0034984405143853037,851963,1250974
2006-01-01,2171503,68566.0,0.03157536508123637,864667,1306836
2006-02-01,2169277,-2226.0,-0.0010261483434341745,852501,1316776
2006-03-01,2148530,-20747.0,-0.009656369703937129,833844,1314686
2006-04-01,2075676,-72854.0,-0.035098926807459296,800875,1274801
2006-05-01,2004528,-71148.0,-0.03549364239362074,762998,1241530
2006-06-01,1959754,-44774.0,-0.022846745050654427,738743,1221011
2006-07-01,1954984,-4770.0,-0.0024399176668452593,739653,1215331
2006-08-01,1983677,28693.0,0.014464552444778067,768370,1215307
2006-09-01,1966166,-17511.0,-0.00890616560351476,752747,1213419
2006-10-01,1992836,26670.0,0.01338293768277976,762491,1230345
2006-11-01,2023164,30328.0,0.014990381402595121,777062,1246102
2006-12-01,2022873,-291.0,-0.0001438548045280541,804274,1218599
2007-01-01,2082508,59635.0,0.02863614449500318,809259,1273249
2007-02-01,2075275,-7233.0,-0.003485321222488569,794202,1281073
2007-03-01,2059451,-15824.0,-0.007683601115054506,781154,1278297
2007-04-01,2023124,-36327.0,-0.017955893954102686,766163,1256961
2007-05-01,1973231,-49893.0,-0.02528492609329569,743837,1229394
2007-06-01,1965869,-7362.0,-0.003744908740104247,742690,1223179
2007-07-01,1970338,4469.0,0.0022681387660391517,755375,1214963
2007-08-01,2028296,57958.0,0.028574724793619888,799785,1228511
2007-09-01,2017363,-10933.0,-0.005419451035832523,787351,1230012
2007-10-01,2048577,31214.0,0.015236918114378883,802831,1245746
2007-11-01,2094473,45896.0,0.0219129107894922,834047,1260426
2007-12-01,2129547,35074.0,0.016470169477358354,885139,1244408
2008-01-01,2261925,132378.0,0.05852448688616996,935597,1326328
2008-02-01,2315331,53406.0,0.02306624841113425,964233,1351098
2008-03-01,2300975,-14356.0,-0.006239094296982772,968485,1332490
2008-04-01,2338517,37542.0,0.01605376398803171,996715,1341802
2008-05-01,2353575,15058.0,0.006397926558533329,1019759,1333816
2008-06-01,2390424,36849.0,0.01541525687493095,1051418,1339006
2008-07-01,2426916,36492.0,0.015036367142496898,1086102,1340814
2008-08-01,2530001,103085.0,0.04074504318377736,1162191,1367810
2008-09-01,2625368,95367.0,0.03632519326814376,1218732,1406636
2008-10-01,2818026,192658.0,0.06836629612359857,1335865,1482161
2008-11-01,2989269,171243.0,0.05728591170617303,1447780,1541489
2008-12-01,3128963,139694.0,0.04464546241038969,1576467,1552496
2009-01-01,3327801,198838.0,0.059750568017739036,1673235,1654566
2009-02-01,3481859,154058.0,0.044245904271252745,1755969,1725890
2009-03-01,3605402,123543.0,0.03426608184052704,1821150,1784252
2009-04-01,3644880,39478.0,0.01083108360220364,1843806,1801074
2009-05-01,3620139,-24741.0,-0.006834267965953877,1821607,1798532
2009-06-01,3564889,-55250.0,-0.0154983787714007,1783180,1781709
2009-07-01,3544095,-20794.0,-0.005867224213797817,1769542,1774553
2009-08-01,3629080,84985.0,0.023417780814972367,1817405,1811675
2009-09-01,3709447,80367.0,0.021665493535828917,1851361,1858086
2009-10-01,3808353,98906.0,0.02597080680283581,1904527,1903826
2009-11-01,3868946,60593.0,0.015661371339894647,1940401,1928545
2009-12-01,3923603,54657.0,0.013930308443540262,2012536,1911067
2010-01-01,4048493,124890.0,0.030848515731656145,2060207,1988286
2010-02-01,4130625,82132.0,0.019883673778181232,2100664,2029961
2010-03-01,4166613,35988.0,0.008637231247538457,2113565,2053048
2010-04-01,4142425,-24188.0,-0.0058390918363036,2088045,2054380
2010-05-01,4066202,-76223.0,-0.01874550255988261,2037192,2029010
2010-06-01,3982368,-83834.0,-0.02105129410441231,1978301,2004067
2010-07-01,3908578,-73790.0,-0.018878988726846346,1935278,1973300
2010-08-01,3969661,61083.0,0.015387460037519562,1970343,1999318
2010-09-01,4017763,48102.0,0.011972333858418227,1984933,2032830
2010-10-01,4085976,68213.0,0.016694420133647414,2016471,2069505
2010-11-01,4110294,24318.0,0.005916365106729549,2027565,2082729
2010-12-01,4100073,-10221.0,-0.002492882443800415,2053188,2046885
2011-01-01,4231003,130930.0,0.030945381036127872,2105239,2125764
2011-02-01,4299263,68260.0,0.015877139872578105,2134612,2164651
2011-03-01,4333669,34406.0,0.007939231168785588,2150248,2183421
2011-04-01,4269360,-64309.0,-0.015062913410909262,2120471,2148889
